ReadOrWrite,SequentialOrRandom,TotalTime,Usertime,Systime,Maxrss,Minfaults,Majfaults,Inblock,Outblock,VolCSW,InvolCSV,Filesize,ProcessorCore
Read,Sequential, 1.196, 0.095, 1.101,3072,590,0,2097152,0,262144,4,1073741824,0
Read,Sequential, 1.133, 0.078, 1.055,3072,592,0,2097152,0,262144,8,1073741824,0
Read,Sequential, 1.128, 0.030, 1.097,3072,590,0,2097152,0,262144,4,1073741824,0
Read,Sequential, 1.125, 0.088, 1.036,3072,590,0,2097152,0,262144,8,1073741824,0
Read,Sequential, 1.125, 0.069, 1.056,3072,590,0,2097152,0,262144,7,1073741824,0
Read,Sequential, 1.123, 0.039, 1.083,3072,589,0,2097152,0,262144,4,1073741824,0
Read,Sequential, 1.129, 0.063, 1.066,3072,589,0,2097152,0,262144,9,1073741824,0
Read,Sequential, 1.128, 0.054, 1.075,3072,589,0,2097152,0,262144,13,1073741824,0
Read,Sequential, 1.128, 0.059, 1.069,3072,589,0,2097152,0,262143,5,1073741824,0
Read,Sequential, 1.125, 0.055, 1.070,3072,591,0,2097152,0,262144,7,1073741824,0
Write,Sequential, 1.244, 0.094, 1.150,3072,588,0,0,2097152,262144,12,1073741824,0
Write,Sequential, 1.246, 0.061, 1.185,3072,588,0,0,2097152,262144,6,1073741824,0
Write,Sequential, 1.248, 0.057, 1.192,3072,588,0,0,2097152,262144,4,1073741824,0
Write,Sequential, 1.241, 0.070, 1.171,3072,588,0,0,2097152,262144,8,1073741824,0
Write,Sequential, 1.242, 0.079, 1.163,3072,589,0,0,2097152,262144,10,1073741824,0
Write,Sequential, 1.263, 0.044, 1.219,3072,587,0,0,2097152,262144,6,1073741824,0
Write,Sequential, 1.244, 0.061, 1.184,3072,589,0,0,2097152,262144,13,1073741824,0
Write,Sequential, 1.248, 0.110, 1.137,3072,590,0,0,2097152,262144,5,1073741824,0
Write,Sequential, 1.474, 0.079, 1.394,3072,590,0,0,2097152,262144,8,1073741824,0
Write,Sequential, 1.653, 0.097, 1.556,3072,589,0,0,2097152,262144,6,1073741824,0
Read,Random, 1.146, 0.045, 1.101,3072,590,0,2097152,0,262144,10,1073741824,0
Read,Random, 1.137, 0.078, 1.058,3072,590,0,2097152,0,262144,6,1073741824,0
Read,Random, 1.140, 0.091, 1.049,3072,591,0,2097152,0,262144,6,1073741824,0
Read,Random, 1.135, 0.059, 1.076,3072,588,0,2097152,0,262144,4,1073741824,0
Read,Random, 1.136, 0.076, 1.060,3072,588,0,2097152,0,262144,7,1073741824,0
Read,Random, 1.134, 0.057, 1.077,3072,591,0,2097152,0,262143,6,1073741824,0
Read,Random, 1.134, 0.110, 1.024,3072,590,0,2097152,0,262144,5,1073741824,0
Read,Random, 1.545, 0.112, 1.433,3072,589,0,2097152,0,262144,10,1073741824,0
Read,Random, 1.717, 0.121, 1.596,3072,591,0,2097152,0,262144,17,1073741824,0
Read,Random, 1.714, 0.099, 1.615,3072,589,0,2097152,0,262144,9,1073741824,0
Write,Random, 1.583, 0.093, 1.490,3072,590,0,0,2097152,262144,13,1073741824,0
Write,Random, 1.642, 0.066, 1.576,3072,591,0,0,2097152,262144,10,1073741824,0
Write,Random, 1.261, 0.078, 1.183,3072,589,0,0,2097152,262144,5,1073741824,0
Write,Random, 1.261, 0.057, 1.204,3072,591,0,0,2097152,262144,5,1073741824,0
Write,Random, 1.256, 0.082, 1.174,3072,590,0,0,2097152,262144,7,1073741824,0
Write,Random, 1.256, 0.087, 1.169,3072,588,0,0,2097152,262144,8,1073741824,0
Write,Random, 1.260, 0.068, 1.192,3072,590,0,0,2097152,262144,9,1073741824,0
Write,Random, 1.256, 0.092, 1.164,3072,590,0,0,2097152,262143,11,1073741824,0
Write,Random, 1.258, 0.078, 1.180,3072,589,0,0,2097152,262144,7,1073741824,0
Write,Random, 1.254, 0.107, 1.147,3072,589,0,0,2097152,262144,10,1073741824,0
